CODIGO,AÑO,DIA,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV
2401519,1972,11,"0,1",0,"0,1","6,4","0,5","1,8","4,7",0,"0,6",0,0
2401519,1972,12,0,0,0,"2,6",0,"0,1","0,6",0,"1,3","6,9",0
2401519,1972,13,"6,5",0,0,9,0,"2,5",0,0,0,"12,1","1,1"
2401519,1972,14,15,"0,3",0,"1,7","10,5","2,6","0,1",0,"0,9","4,1","0,3"
2401519,1972,15,"20,4",0,0,"0,1","0,1","0,2","0,4",0,"0,1",0,"0,7"
2401519,1972,16,"1,3",0,0,"17,3","18,6",0,"0,9","14,2",0,0,"6,4"
2401519,1972,17,13,5,"10,9","0,7","1,8","0,3","0,4","6,4",0,0,"2,4"
2401519,1972,18,0,0,0,0,0,"4,3","0,6","9,7",0,"0,8","0,2"
2401519,1972,19,0,0,"0,6",19,0,0,0,"0,5","3,7",0,"5,2"
2401519,1972,20,"9,5","4,8","4,2","9,1","0,3","5,3","6,2","0,6","2,4",0,"8,2"
2401519,1972,21,0,0,"10,9","10,8","10,7",0,"3,9","1,6","0,1",0,"6,6"
2401519,1972,22,"16,6",0,"0,6","3,4","2,2","0,4",0,"0,7",0,"0,4","0,7"
2401519,1972,23,"0,2",0,"0,1","19,6","1,3","1,5","2,3",0,"0,1",3,"2,9"
2401519,1972,24,0,0,"14,9",6,"1,2",0,"1,3",0,"1,4",0,"0,1"
2401519,1972,25,40,0,0,"4,8",0,0,0,"0,9",0,"0,2","0,1"
2401519,1972,26,"13,6",0,"2,7","17,6",0,"0,3","0,6","0,2","0,3",0,0
2401519,1972,27,"7,8",0,0,"0,2","3,2","1,1","0,1",0,0,0,0
2401519,1972,28,"0,9","7,5","6,3",18,"0,5","1,6","0,4",0,0,"6,2",0
2401519,1972,29,0,,"4,1",19,"1,6","0,7",0,"2,5",0,"2,4",0
2401519,1972,30,0,,"2,4","0,2",0,"1,2",0,"0,8",0,"0,6",0
2401519,1972,31,0,,0,,0,,"0,1","0,8",,"0,9",
,,,,,,,,,,,,,
2401519,1973,1,0,0,"0,3","0,3","6,4",0,0,"21,9","3,8",0,0
2401519,1973,2,0,0,"1,5",0,"1,7","0,8",0,"0,3",0,7,0
2401519,1973,3,0,0,"6,3",0,"0,1",0,0,"1,7","0,2","1,6","0,2"
2401519,1973,4,0,0,0,0,"0,2",0,0,0,"14,8","3,4","45,2"
2401519,1973,5,0,2,0,"1,3","1,9","0,3","1,5","0,6","19,2","15,6","0,3"
2401519,1973,6,0,"9,2",0,"0,7","0,9",0,0,"0,6","0,1",5,0
2401519,1973,7,0,0,"5,2","2,7","2,1","0,9",0,0,"7,4",0,3
2401519,1973,8,0,0,"4,2",0,0,0,"0,1","1,3",0,"0,2",0
2401519,1973,9,0,0,"11,1","10,2","0,1","1,8",0,"1,6","2,1",0,"8,2"
2401519,1973,10,0,6,"4,1",0,0,"4,4","0,4",0,"0,3","0,7",9
2401519,1973,11,0,"0,2",0,"8,4",0,"14,4","1,8",0,"0,1",1,7
2401519,1973,12,0,0,0,0,0,"2,2",0,"0,1","1,1",0,"8,2"
2401519,1973,13,"3,6",0,"1,1",0,"1,6","0,5",2,"22,1","0,6",0,"0,6"
2401519,1973,14,0,"0,1",0,0,"6,3","2,9","1,7","0,1","12,5","1,7","10,2"
2401519,1973,15,0,0,0,0,"4,2","2,4","0,1",0,"3,1","1,1","11,2"
2401519,1973,16,0,0,0,0,"0,6","2,3",0,"0,7",10,"1,4",1
2401519,1973,17,0,0,0,0,"1,1","12,9","0,5","0,2","16,2","0,8","9,7"
2401519,1973,18,0,0,0,"0,3","21,7","0,3",0,0,0,"0,8",5
2401519,1973,19,0,0,0,0,"2,2",0,0,"4,3","7,1","0,1",1
2401519,1973,20,0,0,0,0,"8,3",0,"4,2",0,"6,4","0,2",0
2401519,1973,21,0,0,0,"9,9","0,1","0,2","13,2",0,0,"5,5",0
2401519,1973,22,0,0,0,"1,1","0,1",2,"0,2",0,16,"0,4",0
2401519,1973,23,0,0,"0,8","11,6","11,9","0,3","8,5",0,0,0,0
2401519,1973,24,0,0,0,"0,6",0,0,"2,1","0,2",0,0,"3,1"
2401519,1973,25,0,0,0,"10,2",0,"15,5",4,0,0,"0,4",0
2401519,1973,26,0,"0,3","2,2","0,7","1,8","0,7","0,1","5,4","0,1","16,8",0
2401519,1973,27,0,0,"0,2","0,8",0,0,"2,6","18,9",0,"0,2",0
2401519,1973,28,0,0,"3,4","0,5",0,"0,2","0,4","0,5","0,1",0,"1,4"
2401519,1973,29,0,,0,0,0,"18,3","0,7","0,8",0,8,"1,2"
2401519,1973,30,"0,1",,0,0,0,2,"0,2","3,1",0,0,"8,8"
2401519,1973,31,0,,0,,0,,"12,9","6,9",,0,
,,,,,,,,,,,,,
2401519,1974,1,3,0,"0,3","3,8","14,6",0,0,0,"0,7","10,8",0
2401519,1974,2,0,0,"2,6",14,0,"2,7","0,1","0,6","0,8",10,0
2401519,1974,3,0,"3,5","17,5",1,"6,7",0,0,0,0,"6,1",0
2401519,1974,4,0,"13,7",0,1,"11,7",0,0,0,0,"2,4","9,5"
2401519,1974,5,0,"0,5",0,0,"12,3",0,"1,1","0,7",0,"5,8","0,5"
2401519,1974,6,0,"3,5","5,7",18,"1,9","1,3",0,0,0,0,"8,5"
2401519,1974,7,0,"10,9","6,4",0,"2,2",0,"0,7",0,"0,6","0,3","0,6"
2401519,1974,8,0,6,"6,5","0,6",0,0,"0,1",0,0,"16,4","5,4"
2401519,1974,9,0,0,"10,3",16,"0,4",0,"0,2","0,1","0,1","0,3","0,7"
2401519,1974,10,0,"4,7","0,1",2,"4,6","13,3","0,5",0,0,0,"11,8"
2401519,1974,11,0,"1,8","0,1",0,0,"1,7","1,9",0,0,0,8
2401519,1974,12,"1,8",0,5,0,0,"0,7","0,3","0,7","7,1",0,2
2401519,1974,13,"1,5","1,1","6,4",0,0,"1,9","0,3","0,8","0,1",0,0
2401519,1974,14,"0,4","7,1","0,6",0,"0,5",0,0,"0,1",0,"12,3",0
2401519,1974,15,0,"0,5","5,8",0,0,0,0,0,"0,1","2,4",0
2401519,1974,16,0,0,"0,4",0,0,0,0,"0,1","4,2","1,1",0
2401519,1974,17,0,"3,6",0,"0,5",0,"6,7","0,2","0,2",0,"0,2",0
2401519,1974,18,0,0,0,"0,1","0,1","0,3","0,3",0,"9,3","0,6","9,7"
2401519,1974,19,0,0,0,"0,1",0,"1,2","1,2",0,"1,6",0,"7,9"
2401519,1974,20,"0,5",0,0,"0,2","0,8","0,3","0,3",0,"0,7",0,0
2401519,1974,21,0,0,0,"1,1","1,9","1,9","1,5","0,1",0,"0,7","9,3"
2401519,1974,22,"0,9",0,"1,4","2,6","0,7","0,5","3,2","0,1","0,3","0,1","6,2"
2401519,1974,23,0,"0,1","0,3","7,3",0,"0,4","0,5","0,4",13,0,0
2401519,1974,24,0,0,"0,1","0,2","1,5","0,6",0,0,"11,4",0,0
2401519,1974,25,"5,4",0,"0,7","0,2",0,"4,2","0,4",0,"0,4","7,8","4,2"
2401519,1974,26,0,0,0,"3,9",0,"20,5",0,"0,6",0,"11,4",0
2401519,1974,27,0,0,0,"11,8","0,6","1,6","0,4",11,"1,9","4,1",2
2401519,1974,28,0,"2,2",6,0,"5,2","1,5",0,"1,1","0,8",0,"0,5"
2401519,1974,29,"0,1",,"0,2",0,"5,9",0,"0,5",1,0,"1,4",8
2401519,1974,30,"4,9",,"7,7",7,"1,5",0,"0,5","8,2","4,8","9,4","5,2"
2401519,1974,31,0,,"0,7",,"0,6",,"1,6",0,,1,
,,,,,,,,,,,,,
2401519,1975,1,"0,1","0,8",0,"3,7",0,"1,6","2,3",0,"4,8","0,3",0
2401519,1975,2,"0,3","4,5","10,1","12,9","3,4",0,4,"2,7","0,1",4,"20,8"
2401519,1975,3,0,"0,6","1,8",0,"2,4","0,6","23,3",0,0,"1,3","4,2"
2401519,1975,4,0,0,0,"2,4","13,5","0,8",0,"4,5","7,2","0,5",0
2401519,1975,5,0,0,"1,2",0,"11,2",0,"1,3",0,1,0,0
2401519,1975,6,0,0,0,"0,5","1,7","3,3","5,6","0,6",0,4,"0,5"
2401519,1975,7,0,"2,5",0,0,"0,8","2,8","5,5","0,5","0,2",0,0
2401519,1975,8,0,0,0,0,1,0,0,"0,4",0,0,"0,2"
2401519,1975,9,0,0,0,0,0,0,0,0,"1,8",0,0
2401519,1975,10,0,0,"0,1",0,0,0,"0,9",0,0,"0,8","3,9"
2401519,1975,11,0,0,0,0,0,"0,6",0,0,0,"5,1","1,1"
2401519,1975,12,0,0,"0,4",0,0,"0,7","13,5","1,2",0,"1,2","4,2"
2401519,1975,13,0,0,"0,7",0,"0,4","0,8","0,4","0,9","1,1","15,4","1,8"
2401519,1975,14,0,0,"2,6","0,2",0,"0,2","9,1","1,7","3,6","10,6",0
2401519,1975,15,"0,7",0,"15,3",0,"5,6",0,"8,6",0,0,"1,1",0
2401519,1975,16,0,0,0,0,1,0,14,0,4,"7,9",0
